題型,分類,秒數,題目,選項一,選項二,選項三,選項四,正確答案
是非題,自然1-1～1-2,60,校園的屋頂上放置一片片太陽能光電板，是為了要利用太陽的光來產生電能。,O,X,,,1
是非題,自然1-1～1-2,60,太陽的光只能運用在利用太陽能光電板來轉化成電能。,O,X,,,2
是非題,自然1-1～1-2,60,選購熱水器時，選擇利用太陽能加熱的，會比利用瓦斯或電能的節省能源。,O,X,,,1
是非題,自然1-1～1-2,60,地球上有晝夜、季節和溫度高低等變化，而這些現象都和太陽有關。,O,X,,,1
是非題,自然1-1～1-2,60,現在有了電燈的發明，白天也可以開燈，所以太陽的存在對人類就不再重要了。,O,X,,,2
是非題,自然1-1～1-2,60,太陽的熱可以將蝦子體內的水分蒸發，製成蝦乾。,O,X,,,1
是非題,自然1-1～1-2,60,人類身體所需要的維生素 D，可以從照射太陽光的過程中產生。,O,X,,,1
是非題,自然1-1～1-2,60,照射太陽光能幫助人體合成身體需要的維生素 D，所以我們要盡情的晒太陽。,O,X,,,2
是非題,自然1-1～1-2,60,太陽能光電板將太陽光轉換成電能，可以使路燈發光，提供照明。,O,X,,,1
是非題,自然1-1～1-2,60,太陽的熱可以提供動物所需的能量。,O,X,,,1
是非題,自然1-1～1-2,60,白天我們可以看清楚景色，到了夜晚看得比較不清楚，主要是因為視力用久疲勞的緣故。,O,X,,,2
是非題,自然1-1～1-2,60,蜥蜴晒太陽和柿子晒成柿餅都是利用太陽的熱來達成其目的。,O,X,,,1
是非題,自然1-1～1-2,60,植物需要倚賴陽光行光合作用，製造養分好維持生長，動物不會行光合作用，所以完全不需要太陽。,O,X,,,2
是非題,自然1-1～1-2,60,夜晚沒有陽光照射時，氣溫通常會比白天高。,O,X,,,2
是非題,自然1-1～1-2,60,照射太陽光可產生身體需要的維生素 D，所以應該長時間曝晒在陽光下。,O,X,,,2
是非題,自然1-1～1-2,60,太陽是地球生命能量的來源，可以讓地球上的生物生生不息。,O,X,,,1
是非題,自然1-1～1-2,60,剛洗完的溼衣服可以利用太陽的光來晒乾。,O,X,,,2
是非題,自然1-1～1-2,60,晒衣服是利用太陽的光將衣服上水分蒸發。,O,X,,,2
是非題,自然1-1～1-2,60,太陽的光能將柿子的水分蒸發，製作成我們吃的柿餅。,O,X,,,2
是非題,自然1-1～1-2,60,烏龜上岸晒太陽光，主要目的是為了製造養分。,O,X,,,2
是非題,自然1-1～1-2,60,太陽能光電板可以幫我們將太陽的熱轉換成電能。,O,X,,,2
是非題,自然1-1～1-2,60,一年中，太陽高度角會影響氣溫的高低，冬天時太陽高度角愈小，氣溫愈低。,O,X,,,1
是非題,自然1-1～1-2,60,一年中，在不同季節，太陽在天空中運行的軌跡會相同。,O,X,,,2
是非題,自然1-1～1-2,60,一天中，太陽在天空中的移動軌跡看起來就像是一個半球形。,O,X,,,1
是非題,自然1-1～1-2,60,一年之中，每天上午 6 時看到太陽升起的位置都相同。,O,X,,,2
是非題,自然1-1～1-2,60,我們可以從物體影子的方位和長度，來推測太陽在空中的位置。,O,X,,,1
是非題,自然1-1～1-2,60,由太陽高度角折線圖可以發現，一天中，中午 12 時的太陽高度角最大，所以此時的物體影子會最短。,O,X,,,1
是非題,自然1-1～1-2,60,一天之中，太陽在天空的位置是不變的。,O,X,,,2
是非題,自然1-1～1-2,60,在同一地點觀測日出，會發現春分和秋分太陽升起的時間大約相同，而夏至的日出時間最晚，冬至則最早。,O,X,,,2
是非題,自然1-1～1-2,60,要清楚描述月亮在天空中的位置，需要說明月亮的方位及月亮高度角，但要清楚描述太陽的位置只需要說明太陽高度角。,O,X,,,2
是非題,自然1-1～1-2,60,上午大雄上學途中，會發現陽光下路上行人的影子都出現在東方。,O,X,,,2
是非題,自然1-1～1-2,60,校園裡的日晷，上午 9 時和中午 12 時可以發現晷針的影子方位不同。,O,X,,,1
是非題,自然1-1～1-2,60,在同一地點觀測日出，會發現日出的位置不會隨著季節而改變。,O,X,,,2
是非題,自然1-1～1-2,60,一天中，當在陽光下觀測到的樹影愈長時，表示愈靠近中午時刻。,O,X,,,2
是非題,自然1-1～1-2,60,一天之中，面向南方觀測太陽時，會發現太陽從左邊升起，右邊落下。,O,X,,,1
是非題,自然1-1～1-2,60,一天中，太陽的高度角從上午到中午 12 時會愈來愈大，從中午 12 時到傍晚會愈來愈小。,O,X,,,1
是非題,自然1-1～1-2,60,一天中，當太陽高度角最大時，太陽對地面所提供的熱能最多，此時，將溼衣服晒在太陽下，衣服中的水分會很快就蒸發了。,O,X,,,1
是非題,自然1-1～1-2,60,當太陽高度角愈小，晷針影子愈短；當太陽高度角愈大，晷針影子愈長。,O,X,,,2
是非題,自然1-1～1-2,60,一天中，中午 12 時的樹影會比下午 5 時的長。,O,X,,,2
是非題,自然1-1～1-2,60,一年中，在同一地點、不同季節觀察太陽，日出、日落時刻和太陽的位置都會不太一樣。,O,X,,,1
是非題,自然1-1～1-2,60,同一個時刻和地點測量各種物品的影子，旗杆和大樹的影子出現的方向都相同。,O,X,,,1
是非題,自然1-1～1-2,60,一天中，文惠觀測陽光下升旗臺上旗竿的影子變化，從中午開始一直到下午放學，發現竿影會愈來愈長。,O,X,,,1
是非題,自然1-1～1-2,60,在臺灣，夏季的太陽高度角會比冬季的太陽高度角大，因此氣溫也會比較高。,O,X,,,1
是非題,自然1-1～1-2,60,春分、夏至、秋分和冬至這四天，當天的太陽高度角變化都是由小到大，再由大到小。,O,X,,,1
是非題,自然1-1～1-2,60,除了時鐘，我們沒有其他方法可以知道現在的時刻。,O,X,,,2
是非題,自然1-1～1-2,60,觀察每天中午 12 時的太陽高度角，會發現從春分到夏至，太陽高度角會愈來愈大。,O,X,,,1
是非題,自然1-1～1-2,60,分別在春分和秋分的中午 12 時觀測太陽高度角，測得的太陽高度角會差不多。,O,X,,,1
是非題,自然1-1～1-2,60,玩踩影子遊戲時，如果要避免自己的影子被踩到，要面向陽光奔跑。,O,X,,,2
是非題,自然1-1～1-2,60,一年中，同一時間的太陽高度角以 12 月 22 日前後的最大。,O,X,,,2
是非題,自然1-1～1-2,60,下午 4 時測量太陽高度角，夏天測得的太陽高度角會比冬天測得的大。,O,X,,,1
是非題,自然1-1～1-2,60,一年中，太陽每天都是從正西方落下。,O,X,,,2
是非題,自然1-1～1-2,60,可以直接用之前做好的月亮高度角觀測器來測量太陽高度角。,O,X,,,2
是非題,自然1-1～1-2,60,一天之中，太陽高度角最大的時刻是中午 12 時。,O,X,,,1
是非題,自然1-1～1-2,60,同一時刻，在陽光下大家的影子都會在同一邊。,O,X,,,1
是非題,自然1-1～1-2,60,白天的公園裡，許多孩子在遊樂區活動，不管孩子面向哪一個方位，大家的影子都會朝向相同方向。,O,X,,,1
是非題,自然1-1～1-2,60,夏天太陽在天空中移動的路徑比冬天時長，所以夏天的白天比冬天的長。,O,X,,,1
是非題,自然1-1～1-2,60,透過觀察日晷晷針的影子，能得知一天中，中午的時候太陽高度角最大。,O,X,,,1
是非題,自然1-1～1-2,60,從上午到下午，影子的方位會由東向西移動。,O,X,,,2
是非題,自然1-1～1-2,60,花花固定在每個月的 20 日中午 12 時觀測太陽高度角，發現夏至後、冬至前的這段時間，太陽高度角會由大慢慢變小。,O,X,,,1
是非題,自然1-1～1-2,60,不同季節的日出時刻和日落時刻都不太相同。,O,X,,,1
是非題,自然1-1～1-2,60,太陽直射時的氣溫，會比太陽斜射時的氣溫高。,O,X,,,1
是非題,自然1-1～1-2,60,一天中，過了中午後，太陽高度角慢慢變小，表示太陽在天空中的位置愈來愈低。,O,X,,,1
是非題,自然1-1～1-2,60,一年中，同一個地點的日出位置不會隨著季節推移而改變。,O,X,,,2
是非題,自然1-1～1-2,60,利用吸管影子測量太陽高度角時，將棉線從吸管頂端拉到吸管影子的末端，和太陽連成一直線，直線和地面所形成的夾角，就是當時的太陽高度角。,O,X,,,1
是非題,自然1-1～1-2,60,由於臺灣位於北半球，太陽在天空中的運行偏向南方天空，所以安裝太陽能熱水器時，要將集熱器偏向南方，才會發揮較高效能。,O,X,,,1
是非題,自然1-1～1-2,60,一年之中，夏天中午的太陽高度角比冬天中午的太陽高度角還要大。,O,X,,,1
是非題,自然1-1～1-2,60,同一時間、地點，夏天的太陽高度角會比冬天的大。,O,X,,,1
是非題,自然1-1～1-2,60,一天之中，不同時刻測量竿影，竿影的方位會改變，但長度都一樣長。,O,X,,,2
是非題,自然1-1～1-2,60,從春分到夏至，同一時刻的太陽高度角會愈來愈大；從夏至到冬至，同一時刻的太陽高度角則會愈來愈小。,O,X,,,1
是非題,自然1-1～1-2,60,自己製作太陽高度角觀測器時，只要確認吸管是直立的就好，不需要檢查是否與地面垂直。,O,X,,,2
是非題,自然1-1～1-2,60,古代的計時工具—日晷，是利用晷針影子的方向與長度來推斷時刻。,O,X,,,1
是非題,自然1-1～1-2,60,古人長期觀察月亮，發現月相具有規律性的變化，因此發明了日晷，藉以推斷日期。,O,X,,,2
是非題,自然1-1～1-2,60,觀測太陽的位置時要記錄太陽的方位和高度角，才能準確的描述出太陽的位置。,O,X,,,1
是非題,自然1-1～1-2,60,一天之中，陽光下竿影最短的時間會出現在下午 4 時。,O,X,,,2
是非題,自然1-1～1-2,60,一年中，夏天中午的太陽高度角通常比冬天大，氣溫也比冬天高。,O,X,,,1
是非題,自然1-1～1-2,60,一天之中，太陽從升起到落下的位置會改變，太陽高度角也會不同。,O,X,,,1
是非題,自然1-1～1-2,60,太陽在我的背後，影子會出現在我的前面。,O,X,,,1
是非題,自然1-1～1-2,60,利用日晷能知道一天的氣溫變化。,O,X,,,2
是非題,自然1-1～1-2,60,太陽高度角愈大，所測得的氣溫也會愈高。,O,X,,,1
是非題,自然1-1～1-2,60,中午 12 時，太陽的高度角是一天之中最大的，此時物品的影子長度也是最長的。,O,X,,,2
是非題,自然1-1～1-2,60,一年之中，太陽在春分和秋分時升起的位置相似。,O,X,,,1
是非題,自然1-1～1-2,60,不管是哪一個季節，太陽大致上都是從西方升起，東方落下。,O,X,,,2
是非題,自然1-1～1-2,60,一年中，每天相同時間測量太陽高度角，從 3 月到 6 月，所測得的太陽高度角會愈來愈大。,O,X,,,1
是非題,自然1-1～1-2,60,一天之中，從上午到下午太陽高度角變化是由大到小，再由小到大。,O,X,,,2
是非題,自然1-1～1-2,60,當太陽的高度角愈小，影子也會變得愈短。,O,X,,,2
是非題,自然1-1～1-2,60,同一時刻的太陽方位和旗杆影子的方位會相同。,O,X,,,2
是非題,自然1-1～1-2,60,觀察太陽，可以發現一天中影子的方位與長度有規律性的變化。,O,X,,,1
是非題,自然1-1～1-2,60,太陽的方位與影子的方位相反。,O,X,,,1
是非題,自然1-1～1-2,60,一天之中，太陽高度角是由小到大，再由大到小。,O,X,,,1
是非題,自然1-1～1-2,60,在一年中午 12 時的平均氣溫折線圖中，折線會先上升，然後再下降。,O,X,,,1
是非題,自然1-1～1-2,60,一天中，同一棵樹的高度不會有明顯變化，所以在不同時刻的太陽照射下，這棵樹的影子長度不會有明顯變化。,O,X,,,2
是非題,自然1-1～1-2,60,太陽在文華的左邊，所以文華的影子會出現在他的右邊。,O,X,,,1
是非題,自然1-1～1-2,60,在陽光下玩踩影子遊戲時，可以發現一天中，在中午時最容易踩到影子。,O,X,,,2
是非題,自然1-1～1-2,60,一天中，太陽從東方附近升起後，中午時經過南方天空，傍晚由西方附近落下。,O,X,,,1
是非題,自然1-1～1-2,60,當我們在太陽下活動時，會看到自己的影子。,O,X,,,1
是非題,自然1-1～1-2,60,一天中，丹丹從太陽升起就開始觀測陽光下電線桿的影子變化，發現桿影會由長慢慢變短，直到太陽落下。,O,X,,,2
是非題,自然1-1～1-2,60,指北針是用來測量太陽高度角的工具。,O,X,,,2
是非題,自然1-1～1-2,60,分別在夏至和秋分的上午 9 時觀測同一棵樹的影子，夏至時的樹影會比秋分時的長。,O,X,,,2
是非題,自然1-1～1-2,60,一年中，7 月到 12 月中午 12 時的平均太陽高度角是愈來愈小，而平均氣溫是愈來愈高。,O,X,,,2
是非題,自然1-1～1-2,60,我們可以直視太陽來觀測太陽的方位和太陽高度角。,O,X,,,2
是非題,自然1-1～1-2,60,不論在哪一個季節，一天中，中午 12 時的太陽高度角都是最大的。,O,X,,,1
是非題,自然1-1～1-2,60,觀察四個不同的季節代表日，從春分、夏至、秋分到冬至的中午 12 時太陽高度角會愈來愈大。,O,X,,,2
是非題,自然1-1～1-2,60,同一天，日出時的太陽高度角會比下午 2 時的太陽高度角小。,O,X,,,1
是非題,自然1-1～1-2,60,在臺灣，太陽在天空中的運行偏向南方天空，所以需要大量日照才能生存的植物，種植時要種在偏南方的地點。,O,X,,,1
是非題,自然1-1～1-2,60,觀測一天中太陽的位置時，將太陽高度角觀測器立起的竿子頂端和地面的竿影末端連成一直線，直線和地面所形成的夾角就是當時的太陽高度角。,O,X,,,1
是非題,自然1-1～1-2,60,一天之中，太陽從東邊升起西邊落下，日晷晷針的影子也會從東邊移動到西邊。,O,X,,,2
是非題,自然1-1～1-2,60,觀察不同時刻晷針投影在晷面上的影子，會發現影子只有方位改變，但長度不變。,O,X,,,2
是非題,自然1-1～1-2,60,每天中午 12 時，在同一地點測量太陽高度角與氣溫，會發現該月的平均太陽高度角較大時，平均氣溫會較低。,O,X,,,2
是非題,自然1-1～1-2,60,在臺灣冬天的早晨，太陽升起的位置是東邊偏南。,O,X,,,1
是非題,自然1-1～1-2,60,藉由陽光下影子的長度能判斷出太陽的方位。,O,X,,,2
是非題,自然1-1～1-2,60,觀測一天中太陽的位置時，將太陽高度角觀測器上的棉線拉直，此時測量吸管與棉線的夾角就是當時的太陽高度角。,O,X,,,2
是非題,自然1-1～1-2,60,從一年中午 12 時的平均太陽高度角折線圖，可以推論同一物體夏季時的物體影子會比冬季時的長。,O,X,,,2
是非題,自然1-1～1-2,60,一年中，在同一時間觀測同一根竿子的影子變化，可以發現夏季時的竿影比冬季時的長。,O,X,,,2
是非題,自然1-1～1-2,60,利利觀察陽光下大樹影子，上午的樹影在西南方，下午的樹影在東南方，由此可知利利觀察樹影的季節是冬季。,O,X,,,2
是非題,自然1-1～1-2,60,比較不同季節中午 12 時的太陽高度角，從夏至到冬至，太陽高度角的變化情形是由大到小，再由小到大。,O,X,,,2
是非題,自然1-1～1-2,60,透過陽光下影子的長度變化，我們就可以判斷當時的時刻。,O,X,,,2
是非題,自然1-1～1-2,60,從觀察晷針影子的變化可以準確知道現在的時刻。,O,X,,,2
是非題,自然1-1～1-2,60,一天中，陽光下竿影的長度會隨著太陽的方位不同而變化。,O,X,,,2
選擇題,自然1-1～1-2,60,下列哪一種能源是屬於綠能，可以減少消耗地球上的資源？,石油,天然氣,核能,太陽能,4
選擇題,自然1-1～1-2,60,下列關於太陽與生活的關係，哪一個錯誤？,能幫助植物行光合作用,將柿子放在太陽下能晒乾製成柿餅,能將太陽的光轉換成電能使用,能提供生物涼爽的生存環境,4
選擇題,自然1-1～1-2,60,對於白天和夜晚差異的描述，下列何者是錯誤的？,大部分的人在白天活動，夜晚休息,白天的天色是亮的，晚上的天色是暗的,同一地點，白天的氣溫通常會比夜晚低,同一地點，白天看見的景色會比夜晚沒有光照時清楚,3
選擇題,自然1-1～1-2,60,在下列哪一種自然現象中，無法感受到太陽的光和熱？,豔陽高照,月黑風高,夕陽斜照,晴時多雲,2
選擇題,自然1-1～1-2,60,下列哪一個是運用太陽的光和熱，讓人類生活更便利的例子？,將洗好的衣物晒乾,將海水蒸發，製造我們所需要的鹽,將蝦子體內的水分蒸發，製成蝦乾,以上皆是,4
選擇題,自然1-1～1-2,60,日常生活中，下列哪一種情況與太陽沒有關係？,晾乾衣服,吹乾頭髮,製作蝦乾,植物的葉子錯開生長,2
選擇題,自然1-1～1-2,60,太陽光可以幫助人體產生下列哪一種物質？,維生素 C,維生素 D,鈣,礦物質,2
選擇題,自然1-1～1-2,60,太陽對我們的生活有什麼重要性？,晒乾衣物,可以利用陽光晒乾米粉,幫助植物行光合作用,以上皆是,4
選擇題,自然1-1～1-2,60,下列哪一個是生活中將太陽的光或熱轉換成電能再使用的例子？,太陽能路燈,蜥蜴晒太陽,製作蝦乾,人體產生維生素 D,1
選擇題,自然1-1～1-2,60,關於太陽能，下列哪一個敘述是正確的？,屬於一種綠能,對地球資源消耗大,對環境汙染較大,不利於永續發展,1
選擇題,自然1-1～1-2,60,下列哪一個是錯誤的？,動物生存仰賴太陽提供的能量,適當的照射陽光可產生維生素 D,太陽的熱可以蒸發水分,多數植物不需要陽光就能自行製造養分,4
選擇題,自然1-1～1-2,60,下列哪一種方式可以讓人類身體產生維生素 D？,每天攝取適量鹽分,多在健身房內運動,適度到戶外照射陽光,少喝飲料，多喝水,3
選擇題,自然1-1～1-2,60,太陽能光電板是將太陽光能轉換為電能的科技，下列何者不是應用它的科技產品？,太陽能路燈,電熱水器,太陽能充電站,太陽能公車候車亭,2
選擇題,自然1-1～1-2,60,屋頂上的太陽能集熱器是利用下列哪一種物質轉換成熱能將水加熱？,太陽的熱,太陽的光,天然氣,地熱能,1
選擇題,自然1-1～1-2,60,人體照射太陽光是為了合成哪一種營養素？,鈣質,維生素 D,維生素 E,鐵質,2
選擇題,自然1-1～1-2,60,關於白天和夜晚生活的描述，何者正確？,夜晚的視線通常會比白天清晰,夜晚人們通常需要開燈才能活動,白天通常是地球生物休息的時間,白天氣溫通常會比夜晚低,2
選擇題,自然1-1～1-2,60,下列哪一個不是使用太陽能的優點？,太陽能光電板可以發電與遮陽,減少對環境造成的汙染,對地球資源消耗較小,體積小，節省使用空間,4
選擇題,自然1-1～1-2,60,下列品硯家的電器用品中，何者有使用到太陽能呢？,變頻冷氣機,一級省電冰箱,手動發電手電筒,太陽能熱水器,4
選擇題,自然1-1～1-2,60,對於太陽能的敘述，下列哪一個選項是錯誤的？,太陽能屬於綠能,太陽能較不容易耗竭,太陽能對環境的汙染相對較小,運用太陽能對地球資源的消耗會較多,4
選擇題,自然1-1～1-2,60,下列哪一個是正確的？,夜晚氣溫通常會比白天低,白天看景物通常比較不清楚,太陽的光和熱並不會影響生物生存,適當的照射陽光可產生維生素 A,1
選擇題,自然1-1～1-2,60,下列何者為利用太陽轉換成電能再使用的例子？,晒日光浴,植物生長,冰塊融化,太陽能路燈,4
選擇題,自然1-1～1-2,60,太陽能光電板是將哪一種物質轉換成電能？,太陽的熱,太陽的光,天然氣,地熱能,2
選擇題,自然1-1～1-2,60,下列哪一個是錯誤的？,白天氣溫通常比較高,白天陽光刺眼，看東西通常比較不清楚,太陽的光和熱會對生物生存造成影響,植物製造養分需要陽光的照射,2
選擇題,自然1-1～1-2,60,太陽對地球環境有深遠的影響，下列哪一個敘述不正確？,太陽升落，造成白晝和夜晚的更迭,植物需要陽光行光合作用以製造養分，促進生長,如果沒有太陽，地球上大多數的生物仍然可以生存,太陽的熱可以提供動物活動所需的能量,3
選擇題,自然1-1～1-2,60,下列哪一項主要不是受到太陽的光和熱的影響？,植物行光合作用,晒乾衣服,飛機飛行,製作蝦乾,3
選擇題,自然1-1～1-2,60,下列哪一種物品是利用太陽的熱能才能運作？,太陽能路燈,太陽能充電站,太陽能集熱器,風力發電機,3
選擇題,自然1-1～1-2,60,因住家附近地區的線路要進行維護工程，阿蒂家今日白天停電 8 小時。停電期間，阿蒂家中的哪一個電器最不會受到影響？,電視,熱水瓶,太陽能集熱器,電風扇,3
選擇題,自然1-1～1-2,60,太陽對地球環境有什麼影響，下列哪一個是錯誤的？,陽光照射，可以讓我們看清前方的景物,古代沒有電燈，通常是日出而作，日入而息,太陽位置的變化，形成了晝夜與四季的不同,有陽光照射時，氣溫通常會比較低,4
選擇題,自然1-1～1-2,60,關於太陽與人們生活的關聯，下列哪一個敘述正確？,適當照射陽光能幫助身體產生維生素 D,長期照射太陽能使皮膚變得更加白皙,陽光能使鹽分蒸發成為所需用的飲用水,太陽能光電板是將太陽的電能轉換成光能,1
選擇題,自然1-1～1-2,60,臺灣傳統三合院房子中間，沒有遮蔽的廣場叫做「埕」或是「禾埕」，在過去農業時代，每到了收成的季節，禾埕上總會鋪滿稻穀或其他農作物。把稻穀鋪在禾埕上，可能是因為,沒有其他儲放空間,提供鳥類或其他動物食用,藉由充足的陽光將稻穀內的水分蒸發，以利保存,照射陽光以獲取生長所需的能量，稻穀才能顆粒飽滿、結實纍纍,3
選擇題,自然1-1～1-2,60,下列關於太陽對生活的重要性，哪一個錯誤？,幫助植物行光合作用,提供生物涼爽舒適的生存環境,可運用太陽能來發電,可以晒乾食物延長保存期限,2
選擇題,自然1-1～1-2,60,下列哪一個是生活中將太陽的光或熱轉換成電能再使用的例子？,植物生長,晒衣服,太陽能充電站,照亮大地,3
選擇題,自然1-1～1-2,60,太陽的光和熱是地球生物生存的重要因素，下列哪一個例子不是太陽對生物生存的好處？,太陽的熱可以提供動物活動所需的能量,植物需要陽光來製造養分，維持生長所需的能量,適當的照射太陽光，可產生身體需要的維生素 C,太陽的熱可以讓食物中的水分蒸發，延長保存期限,3
選擇題,自然1-1～1-2,60,下列哪一個是正確的？,利用太陽的光可以把柿子製成柿餅,利用太陽的熱可以把衣服上的水分蒸發,利用太能光電板能將太陽的熱能轉換成電能，點亮路燈,太陽能集熱器能用太陽的光將水加熱,2
選擇題,自然1-1～1-2,60,下列哪一種情況不是受到太陽的熱能影響？,在操場參加升旗典禮時汗流浹背,晒柿子製作柿餅,植物行光合作用，製造養分,夏日海邊炙熱的沙灘,3
選擇題,自然1-1～1-2,60,大自然的運行，哪一種現象與太陽無關？,月亮的圓缺,四季的變化,晝夜的變化,星星的亮度,4
選擇題,自然1-1～1-2,60,下列關於太陽對生活的重要性，哪一個錯誤？,可以讓晾在頂樓的溼衣服變乾,可以讓柿子乾燥而延長保存期限,可以利用太陽能光電板吸收太陽的熱,可以提供生物溫暖合適的生存環境,3
選擇題,自然1-1～1-2,60,王老闆想在工廠的屋頂架設太陽能光電板，下列哪一個不可能是王老闆考量的因素？,能發電,能遮陽,能節省空間,能減少對環境的汙染,3
選擇題,自然1-1～1-2,60,下列何者不是利用太陽的光來達成目的？,動物通常在白天捕食獵物,人體要照射陽光以合成維生素 D,蜥蜴晒太陽以獲得能量,植物行光合作用以製造養分,3
選擇題,自然1-1～1-2,60,下列何者不是太陽的熱對日常生活的影響？,適度照射太陽，能產生身體所需要的維生素 D,池裡的烏龜爬上石頭晒太陽,把柿子晒成柿餅,讓地上的積水蒸發,1
選擇題,自然1-1～1-2,60,下列哪一個是生活中直接運用太陽的光或熱的例子？,太陽能充電站,晒鹽、製鹽,太陽能路燈,以上皆是,2
選擇題,自然1-1～1-2,60,觀察下列的折線圖，兩條相近的太陽運行路線應該是哪兩個季節代表日？,春分、秋分,夏至、冬至,春分、夏至,秋分、冬至,1
選擇題,自然1-1～1-2,60,一天之中，可以發現氣溫最高的時刻與太陽高度角有何關係？,太陽高度角最小,太陽高度角最大,太陽高度角為 60 度,沒有關係,2
